title_ko,title_en,author,style,upload_date
미움받을 용기,The Courage to Be Disliked,,summary+video,2026-03-15
달과 6펜스,The Moon and Sixpence,,summary+video,2026-03-14
왜 일하는가,Why Work,,summary+video,2026-03-13
폰더 씨의 위대한 하루,The Traveler's Gift,,summary+video,2026-03-12
사람을 얻는 지혜,The Art of Worldly Wisdom,,summary+video,2026-03-11
일류의 조건,Condition of the First-Class,,summary+video,2026-03-10
타이탄의 도구들,Tools of Titans,,summary+video,2026-03-09
레버리지,Leverage,,summary+video,2026-03-08
타인의 고통,Regarding the Pain of Others,,summary+video,2026-03-07
더 리더,The Reader,,summary+video,2026-03-05
파친코,Pachinko,,summary+video,2026-03-04
빅 히스토리,Big History,,summary+video,2026-03-03
우리는 무엇을 타고나는가,Innate,,summary+video,2026-03-02
,The Clash of Civilizations,,summary+video,2026-03-01
The Clash of Civilizations,5분 핵심 요약,,summary+video,2026-03-01
,To Kill a Mockingbird: Harper Lee,,summary+video,2026-02-28
괴테는 모든 것을 말했다: 스즈키 유이,Goethe Said It All,,summary+video,2026-02-26
,Goethe Said It All: Yui Suzuki,,summary+video,2026-02-26
,THE 2028 GLOBAL INTELLIGENCE CRISIS,,summary+video,2026-02-24
세이노의 가르침: 세이노,Seinos Teachings,,summary+video,2026-02-24
,Seinos Teachings: Seino,,summary+video,2026-02-24
침팬지 폴리틱스,Chimpanzee Politics,,summary+video,2026-02-22
마법 같은 언어,The Magical Language of Others,,summary+video,2026-02-21
청춘의 독서,Youth and Reading,,summary+video,2026-02-20
몸의 일기,Journal d'un corps,,summary+video,2026-02-19
자사의 중용,The Doctrine of the Mean,,summary+video,2026-02-18
,Principles: Ray Dalio,,summary+video,2026-02-17
원칙: 레이 달리오,Principles,,summary+video,2026-02-17
역사는 어떻게 진보하고 왜 퇴보하는가,The Age of Revolutions,,summary+video,2026-02-16
편안함의 습격,The Comfort Crisis,,summary+video,2026-02-15
,Project Hail Mary: Andy Weir,,summary+video,2026-02-14
프로젝트 헤일메리: 앤디 위어,Project Hail Mary,,summary+video,2026-02-14
종의 기원: 정유정,The Good Son,,summary+video,2026-02-13
,The Good Son: Jeong You-jeong,,summary+video,2026-02-13
이처럼 사소한 것들: 클레어 키건,Small Things Like These,,summary+video,2026-02-12
,Small Things Like These: Claire Keegan,,summary+video,2026-02-12
,World Short Stories: The Happy Prince & More,,summary+video,2026-02-11
쇼펜하우어의 아포리즘: 아르투어 쇼펜하우어,소품과 부록,,summary+video,2026-02-11
"세계의 단편: 귀여운 여인, 행복한 왕자 外",예언한 미래가 현실이 되었다,,summary+video,2026-02-11
,Aphorisms on the Wisdom of Life: Arthur Schopenhauer,,summary+video,2026-02-11
,The Shift: Wayne Dyer,,summary+video,2026-02-10
,The Midnight Library: Matt Haig,,summary+video,2026-02-08
미드나잇 라이브러리: 매트 헤이그,The Midnight Library,,summary+video,2026-02-08
까르마조프가의 형제들: 도스토옙스키,The Brothers Karamazov,,summary+video,2026-02-07
,The Brothers Karamazov: Fyodor Dostoevsky,,summary+video,2026-02-07
,No Longer Human: Osamu Dazai,,summary+video,2026-02-06
인간 실격: 다자이 오사무,No Longer Human,,summary+video,2026-02-06
도둑맞은 집중력: 요한 하리,Stolen Focus,,summary+video,2026-02-05
,Stolen Focus: Johann Hari,,summary+video,2026-02-05
,Why Fish Don't Exist: Lulu Miller,,summary+video,2026-02-04
물고기는 존재하지 않는다: 룰루 밀러,Why Fish Don't Exist,,summary+video,2026-02-04
,The Singularity Is Near: Ray Kurzweil,,summary+video,2026-02-03
특이점이 온다: 레이 커즈와일,The Singularity Is Near,,summary+video,2026-02-03
,Dopamine Nation: Anna Lembke,,summary+video,2026-02-02
도파민네이션: 애나 렘키,Dopamine Nation,,summary+video,2026-02-02
노인과 바다: 어니스트 헤밍웨이,The Old Man and the Sea,,summary+video,2026-02-01
,The Old Man and the Sea: Ernest Hemingway,,summary+video,2026-02-01
